cell,idx,s_b_ex,s_Y
1,1,0.0416867759667049,0.129472420706408
1,2,0.0196222839125,0.150650207102129
1,3,0.0145410165555134,0.168150108556324
1,4,0.0184562250007984,0.222589972863112
1,5,0.0427646022993339,0.182858696856017
1,6,0.0133565098010187,0.125114047371424
1,7,0.0361159343946978,0.181650253118155
1,8,0.0543249174093382,0.226738170037363
1,9,0.0501316004603574,0.198703828383797
1,10,0.0246843516875877,0.228090823170972
1,11,0.0167306176773266,0.244412906790627
1,12,0.0513729647777577,0.228021134322604
1,13,0.0309128014173249,0.225582754750406
1,14,0.0376348825022618,0.201278819025215
1,15,0.0275619917664108,0.194947529264049
2,1,0.0374800015407758,0.140638647391013
2,2,0.00550476964966562,0.177533227077815
2,3,0.00398494206288128,0.170305451419871
2,4,0.0235097451438792,0.137748578819163
2,5,0.0432255664720701,0.20258830394782
2,6,0.0811169354244237,0.198975988081052
2,7,0.0546428544283994,0.199783926036827
2,8,0.0679945189695119,0.184240352217781
2,9,0.0719415244309814,0.188813993399868
2,10,0.00736084316144673,0.199284283266538
2,11,0.0671008245272067,0.221862488551383
3,1,0.00849380537566443,0.184762539737791
3,2,0.0461675712367835,0.207606290059664
3,3,0.000141195000004316,0.179101176044693
3,4,0.0213512641363037,0.183923439151945
3,5,0.0156547995451171,0.217431868854055
3,6,0.0249786116606201,0.255036616512738
3,7,0.0166620933711181,0.172911513625639
3,8,0.00172130828315056,0.257595534263837
3,9,0.0214762243440444,0.219622979826732
3,10,0.014858978129764,0.247077941737942
3,11,0.0195266732308941,0.197528478053014
3,12,0.0193997307622772,0.216099639646855
3,13,0.0276461684550787,0.22262275813812
4,1,6.21299805177373e-06,0.194678761067063
4,2,0.0937209936464848,0.227548786237547
4,3,0.060943865139522,0.262074995370286
4,4,0.040623632773593,0.193537646049688
4,5,0.00808741864428918,0.159970920568015
4,6,0.053065795993113,0.251717646635773
4,7,0.0666152138544425,0.220348886682162
4,8,0.0203636678862469,0.240371810504991
4,9,0.0478729182685075,0.185317158930217
4,10,0.0658666279836808,0.302949127898194
4,11,0.0410471122484711,0.308634653749285
